,InduCorrect,InduIncorrect,MeetCorrect,MeetIncorrect,OffiCorrect,OffiIncorrect,ResiCorrect,ResiIncorrect,ShopCorrect,ShopIncorrect
0,365.25 (362.22),261.17 (364.86),362.48 (365.58),213.11 (338.53),398.32 (366.44),245.86 (343.83),337.4 (350.63),353.69 (428.72),358.96 (367.85),200.81 (314.86)
1,358.14 (358.59),255.76 (385.84),372.5 (360.03),231.08 (363.08),390.68 (366.19),231.15 (339.49),335.44 (348.78),365.46 (442.49),359.31 (366.26),194.48 (325.18)
2,359.15 (352.43),269.98 (403.07),361.92 (357.69),236.43 (384.65),379.07 (361.25),222.34 (353.13),331.97 (346.59),400.79 (477.87),373.79 (370.12),196.29 (306.16)
3,375.26 (348.77),277.36 (386.07),382.42 (355.38),245.87 (370.4),421.85 (358.67),240.34 (348.76),333.02 (341.34),357.59 (417.47),379.05 (369.87),210.85 (318.34)
