,InduCorrect,InduIncorrect,MeetCorrect,MeetIncorrect,OffiCorrect,OffiIncorrect,ResiCorrect,ResiIncorrect,ShopCorrect,ShopIncorrect
0,1920.07 (168.31),1800.41 (341.94),1910.13 (194.11),1783.81 (349.03),1927.85 (154.18),1831.96 (304.59),1900.07 (208.52),1850.2 (302.12),1906.32 (202.63),1779.6 (348.2)
1,1912.7 (185.18),1790.38 (352.92),1914.5 (185.96),1812.88 (322.43),1919.57 (173.82),1830.23 (307.2),1897.24 (213.96),1860.36 (291.29),1906.18 (203.34),1777.69 (347.57)
2,1915.87 (178.24),1800.08 (343.07),1906.58 (200.86),1818.23 (320.41),1917.11 (177.79),1813.0 (326.62),1893.82 (220.68),1873.09 (278.55),1912.42 (193.41),1800.82 (325.1)
3,1925.69 (153.33),1829.6 (312.84),1920.06 (174.53),1827.01 (308.12),1933.47 (138.64),1839.73 (296.29),1900.62 (203.42),1869.06 (278.38),1917.41 (183.13),1804.35 (323.57)
