"building_class","fov","architecture","iteration","train_n","validation_n","test_n","kappa","precision","recall","computation_time(seconds)","test_accuracy","average_accuracy","f_score"
Residentia,F30,inception_v3,0,63976,21232,21142,0.3782080526686685,0.9705161211229619,0.8307797250498479,674,82.47091174125671,79.99867915076494,0.8952278638471108
Residentia,F30,inception_v3,1,63901,21307,21142,0.4440853959410597,0.9656219561106973,0.8843005561968728,2335,86.73257231712341,79.81963433575535,0.9231738380214183
Residentia,F30,inception_v3,2,63726,21482,21142,0.40105208227793104,0.9694391179290508,0.8488823591142827,2506,83.96556377410889,80.20803350273908,0.9051642141778101
Residentia,F30,inception_v3,3,64021,21187,21142,0.36240442938821393,0.9718644491684382,0.8156154895581907,2591,81.25059008598328,79.98422937234332,0.886910875271026
Residentia,F30,mobilenet_1.0_224,0,63976,21232,21142,0.3107936395733039,0.9225275807722616,0.9828418511911009,1441,91.01315140724182,61.40216933498691,0.9517300950154972
Residentia,F30,mobilenet_1.0_224,1,63901,21307,21142,0.2871596525200175,0.9197714732164657,0.9883513485150593,857,91.17869734764099,59.99818162920786,0.9528289956243519
Residentia,F30,mobilenet_1.0_224,2,63726,21482,21142,0.07732014818626932,0.9868774703557313,0.3275264980585581,971,38.98874223232269,64.38496213901236,0.4918252373635898
Residentia,F30,mobilenet_1.0_224,3,64021,21187,21142,0.21718587455835264,0.9144988615995737,0.9905551474446427,1066,90.8003032207489,57.18130823595574,0.9510087907105615
Residentia,F60,inception_v3,0,63976,21232,21142,0.4172065466478815,0.974907570155767,0.8440025186273481,1371,83.97975564002991,82.26730443424648,0.9047444947549006
Residentia,F60,inception_v3,1,63901,21307,21142,0.45517788245701596,0.9723407987836968,0.872494490502676,2199,86.26903891563416,82.27635600306087,0.9197157001023258
Residentia,F60,inception_v3,2,63726,21482,21142,0.48379378856603833,0.9700667084782485,0.892748452093609,2409,87.8488302230835,82.04145331485319,0.9298029893160642
Residentia,F60,inception_v3,3,64021,21187,21142,0.4355453325731098,0.9737923640478885,0.8578549690418722,2499,85.10547876358032,82.33612657109553,0.9121544341227997
Residentia,F60,mobilenet_1.0_224,0,63976,21232,21142,0.27133097630634123,0.9178666666666667,0.9933361318081646,1662,91.38681292533875,59.02381234856562,0.9541113323085452
Residentia,F60,mobilenet_1.0_224,1,63901,21307,21142,0.07466728682906146,0.9053102398172821,0.9983209151012699,1339,90.43610095977783,52.17132406600399,0.9495433448120976
Residentia,F60,mobilenet_1.0_224,2,63726,21482,21142,0.13909782885837985,0.9882669537136706,0.4817399517263092,1344,52.76700258255005,71.47183443852275,0.6477352899675461
Residentia,F60,mobilenet_1.0_224,3,64021,21187,21142,0.5071749301624416,0.9460681082746931,0.9664707734284814,1317,92.011159658432,73.13160009176957,0.9561606146338931
Residentia,F90,inception_v3,0,63976,21232,21142,0.49233880158266097,0.971936442615455,0.8922762094658411,1646,87.9670798778534,82.83358014699647,0.9304043333150954
Residentia,F90,inception_v3,1,63901,21307,21142,0.42516089462358037,0.9779716865999512,0.8409591772483996,2175,83.95610451698303,83.38673045551019,0.9043051402132822
Residentia,F90,inception_v3,2,63726,21482,21142,0.45984568479501264,0.974802778758978,0.8688214922867038,2493,86.15078926086426,83.17236060281888,0.9187659527244479
Residentia,F90,inception_v3,3,64021,21187,21142,0.4979421556748147,0.9711363636363637,0.8968412215342638,2640,88.29817175865173,82.65396126865177,0.9325113208576573
Residentia,F90,mobilenet_1.0_224,0,63976,21232,21142,0.1079225790179203,0.9882323168417056,0.4098016580963375,1646,46.357959508895874,68.2587969163332,0.5793553651570787
Residentia,F90,mobilenet_1.0_224,1,63901,21307,21142,0.21535121123247908,0.985461493727673,0.622415783398048,1370,65.13574719429016,76.92213273995998,0.7629522431259044
Residentia,F90,mobilenet_1.0_224,2,63726,21482,21142,0.41317302823022517,0.9734187156406694,0.845471717913737,1401,83.98921489715576,81.71696401468877,0.9049451012327652
Residentia,F90,mobilenet_1.0_224,3,64021,21187,21142,0.25722266012244155,0.9827547255064387,0.6847518102634065,1370,70.4994797706604,78.74334867055995,0.8071249652101308
Residentia,F30_60_90,inception_v3,0,191928,63696,63426,0.39698554695531457,0.9729790221173215,0.8363766747122818,3595,83.15674662590027,81.1982323280645,0.899521261086709
Residentia,F30_60_90,inception_v3,1,191703,63921,63426,0.4232549632361712,0.97100387934447,0.8580648546542134,5071,84.89578366279602,81.18699193296659,0.9110475589147431
Residentia,F30_60_90,inception_v3,2,191178,64446,63426,0.4364026859924991,0.969278422816177,0.8702382201700073,5440,85.8165442943573,80.89994683703523,0.9170921423700071
Residentia,F30_60_90,inception_v3,3,192063,63561,63426,0.3887042073921383,0.9736085438488395,0.8291356210865078,5783,82.57181644439697,81.18006960199014,0.8955830121665533
Residentia,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.4770165973548286,0.9551830803539314,0.9289537202224788,3854,89.66670036315918,76.5180634903306,0.9418858287963965
Residentia,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.4651260611194488,0.9589156825653363,0.9132122992968832,3058,88.64976763725281,77.77033985287999,0.9355061232900029
Residentia,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.40675371279454314,0.9307591644718316,0.9827718893203204,3140,91.85665249824524,65.70929184285544,0.9560586338616508
Residentia,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.43537451366332697,0.9625158710606606,0.8883583447021374,3224,86.81771159172058,78.59897929524763,0.923951502142019
Meeting,F30,inception_v3,0,63976,21232,21142,0.17675596952416597,0.9845670351871598,0.8593681116825863,3228,85.11966466903687,74.05506308069053,0.9177172150442015
Meeting,F30,inception_v3,1,63901,21307,21142,0.15686849429741587,0.9864049223556988,0.8245407788390889,2319,81.96008205413818,75.27105544814427,0.8982390608324439
Meeting,F30,inception_v3,2,63726,21482,21142,0.12135081828198083,0.9885802271123372,0.7547881459710997,2561,75.48008561134338,75.49731651451097,0.8560079995555802
Meeting,F30,inception_v3,3,64021,21187,21142,0.16436853620549566,0.9863220122870059,0.8336027430810679,2520,82.81619548797607,75.44905049655682,0.903554647057262
Meeting,F30,mobilenet_1.0_224,0,63976,21232,21142,0.1824913667158649,0.9752628638187637,0.9404849375459221,1646,91.94967150688171,63.53043669847905,0.957558226522368
Meeting,F30,mobilenet_1.0_224,1,63901,21307,21142,0.09129742088798905,0.9883143237002309,0.6918442321822189,1173,69.45416927337646,73.10665452520448,0.8139226646689331
Meeting,F30,mobilenet_1.0_224,2,63726,21482,21142,0.16384675248459551,0.9714285714285714,0.969287288758266,1044,94.28152441978455,58.436854121544656,0.9703567488047077
Meeting,F30,mobilenet_1.0_224,3,64021,21187,21142,0.16298080030679082,0.9755078890378468,0.9267205486162136,1054,90.67732691764832,63.667526743052775,0.9504885829837474
Meeting,F60,inception_v3,0,63976,21232,21142,0.13001004445360811,0.9881667918858001,0.7731080088170463,3194,77.19705104827881,75.65677595667074,0.8675076263500702
Meeting,F60,inception_v3,1,63901,21307,21142,0.1471088262159417,0.9863347394688373,0.8131765858437423,2243,80.87219595909119,74.84039738022013,0.8914245825055039
Meeting,F60,inception_v3,2,63726,21482,21142,0.17303276637797388,0.9836917062273108,0.862747979426892,2814,85.36562323570251,73.05486802223868,0.9192588726513569
Meeting,F60,inception_v3,3,64021,21187,21142,0.13255343885067933,0.9874621703415478,0.7831496448689689,2429,78.10046076774597,75.19599668636454,0.8735180025132493
Meeting,F60,mobilenet_1.0_224,0,63976,21232,21142,0.19414727180218683,0.976078990228013,0.9394072985549841,1624,91.92602634429932,64.64574319459928,0.9573921074307965
Meeting,F60,mobilenet_1.0_224,1,63901,21307,21142,0.046076660211475266,0.9924974306269271,0.47303453343130053,1319,48.77021908760071,68.63109393428854,0.6407032675402223
Meeting,F60,mobilenet_1.0_224,2,63726,21482,21142,0.09247743010024484,0.9675160752560134,0.9950036737692873,1286,96.29173874855042,52.84509427993617,0.9810673750301859
Meeting,F60,mobilenet_1.0_224,3,64021,21187,21142,0.2044545009553579,0.9755642885933091,0.948469262796963,1325,92.73011088371277,64.06720454287428,0.9618259940888656
Meeting,F90,inception_v3,0,63976,21232,21142,0.15338613619893632,0.9847337072804024,0.8341415625765368,3280,82.73578882217407,73.5502693255256,0.903203564230402
Meeting,F90,inception_v3,1,63901,21307,21142,0.1310225089094392,0.9868947271272995,0.7856967915748224,2275,78.29912304878235,74.63559611244126,0.8748772771899204
