,InduCorrect,InduIncorrect,MeetCorrect,MeetIncorrect,OffiCorrect,OffiIncorrect,ResiCorrect,ResiIncorrect,ShopCorrect,ShopIncorrect
0,16.56 (7.05),17.44 (8.88),16.39 (7.17),18.98 (9.07),16.32 (7.32),17.5 (7.83),16.24 (6.91),19.29 (9.59),16.67 (7.46),17.56 (8.06)
1,16.52 (7.12),17.96 (9.18),16.21 (7.04),18.67 (8.79),16.09 (7.01),18.25 (8.4),16.16 (6.88),19.98 (9.72),16.68 (7.52),17.52 (7.67)
2,16.5 (7.02),17.78 (9.16),16.22 (6.99),19.43 (9.33),16.26 (7.14),18.33 (8.46),16.23 (6.93),20.72 (10.21),16.7 (7.65),17.08 (7.06)
3,16.32 (6.82),17.58 (8.63),15.92 (6.71),18.68 (8.84),15.92 (6.96),17.81 (8.08),15.94 (6.69),18.78 (8.95),16.68 (7.58),17.09 (7.41)
