Residentia,Meeting,Industry,Office,Shop
1,0,0,0,0
0/4,0/4,0/4,1/4,0/4
0/4,0/4,0/4,0/4,0/4
0/4,0/4,0/4,0/4,0/4
0/4,0/4,0/4,0/4,0/4
