Residentia,Meeting,Industry,Office,Shop
1,0,0,0,0
4/4,4/4,4/4,4/4,4/4
4/4,4/4,4/4,4/4,4/4
4/4,4/4,4/4,4/4,4/4
4/4,4/4,4/4,4/4,4/4
